ID,Institution,Campus,Address,Phone,Web Address,Location
22,University of California Hastings College of Law,,100 McAllister St,4155654600,http://www.uchastings.edu,"(37.7811643, -122.4140251)"
23,University of California Hastings College of Law,,198 McAllister St,4155654600,http://www.uchastings.edu,"(37.78105093, -122.4149724)"
24,University of California Hastings College of Law,,376 Larkin St,4155654600,http://www.uchastings.edu,"(37.78122201, -122.4166513)"
25,Academy of Art University,,2300 Stockton St,,,"(37.80747093, -122.4102403)"
26,Academy of Art University,,701 Chestnut St,,,"(37.80323611, -122.4150483)"
27,Academy of Art University,,1849 Washington St,,,"(37.79271576, -122.4233985)"
28,Academy of Art University,,740 Taylor St,,,"(37.7893834, -122.4117779)"
29,Academy of Art University,,2151 Van Ness Ave,,,"(37.79538047, -122.4238659)"
30,Academy of Art University,,688 Sutter St,,,"(37.78903822, -122.4116055)"
31,Academy of Art University,,625 Sutter St,,,"(37.78872699, -122.410676)"
32,Academy of Art University,,491 Post St,,,"(37.78782523, -122.4103705)"
33,Academy of Art University,,540 Powell St,,,"(37.78988497, -122.40894)"
34,Academy of Art University,,410 Bush St,,,"(37.79113835, -122.4045012)"
35,Academy of Art University,,180 New Montgomery St,,,"(37.78625102, -122.3995208)"
36,Academy of Art University,,60 Federal St,,,"(37.78330745, -122.3920745)"
37,Academy of Art University,,466 Townsend St,,,"(37.77413509, -122.3992706)"
40,Academy of Art University,,601 Brannan St,,,"(37.77589188, -122.3987812)"
41,City College of San Francisco,Civic Center,"750 Eddy St

750 Eddy Street

750 Eddy Street*",,,"(37.78322474, -122.4200359)"
42,City College of San Francisco,Downtown,88 4th St,,,"(37.78450932, -122.404624)"
47,City College of San Francisco,John Adams,1860 Hayes St,,,"(37.77429933, -122.4470124)"
1,The Art Institute of California-San Francisco,,1170 Market St,4158650198,http://www.artinstitutes.edu/sanfrancisco/,"(37.77950511, -122.4143194)"
2,University of California Hastings College of Law,,200 McAllister St,4155654600,http://www.uchastings.edu,"(37.78115545, -122.4156701)"
3,San Francisco Conservatory of Music,,50 Oak St,4158647326,http://www.sfcm.edu,"(37.77554947, -122.4202696)"
4,California Institute of Integral Studies,,1453 Mission St,4155756100,http://www.ciis.edu,"(37.77456069, -122.4161598)"
5,California Culinary Academy,,350 Rhode Island St,4157713500,http://www.caculinary.edu,"(37.76574019, -122.4030029)"
6,Marinello Schools of Beauty,,1085 Mission St,5629452211,http://www.marinello.com,"(37.77936284, -122.4103312)"
7,San Francisco Institute of Esthetics and Cosmetology,,1067 Folsom St,4153551734,,"(37.77705101, -122.4070272)"
8,Everest College-San Francisco,,814 Mission St  Suite 500,8887414270,http://www.everest.edu/campus/san_francisco?,"(37.78439716, -122.4048526)"
9,Academy of Art University,,79 New Montgomery St,4152742200,http://www.academyart.edu,"(37.78789864, -122.4005462)"
10,Heald College-San Francisco,,350 Mission St,4158083000,http://www.heald.edu,"(37.79090548, -122.3966526)"
11,Golden Gate University-San Francisco,,536 Mission St,4154427800,http://www.ggu.edu,"(37.78925764, -122.3988662)"
12,American College of Traditional Chinese Medicine,,455 Arkansas St,4152827600,http://www.actcm.edu,"(37.76052191, -122.3979702)"
13,The Fashion Institute of Design & Merchandising-San Francisco,,55 Stockton St,4156755200,http://WWW.FIDM.EDU,"(37.78603672, -122.4065154)"
14,American Conservatory Theater,,30 Grant Ave,4158343200,http://www.act-sf.org,"(37.78709023, -122.4047315)"
15,Miami Ad School-San Francisco,,415 Jackson St,4158370966,http://www.miamiadschool.com,"(37.79637246, -122.4023477)"
16,Saybrook Graduate School and Research Center,,747 Front St,4154339200,http://www.saybrook.edu,"(37.79839196, -122.4001683)"
17,City College of San Francisco,Ocean,50 Phelan Ave,4152393000,http://www.ccsf.edu,"(37.72576996, -122.450972)"
18,University of San Francisco,,2130 Fulton St,4154225555,http://www.usfca.edu,"(37.77618928, -122.4509351)"
19,San Francisco State University,,1600 Holloway Ave,4153381111,http://www.sfsu.edu,"(37.72391332, -122.4801364)"
20,San Francisco Art Institute,,800 Chestnut St,4157717020,http://www.sfai.edu,"(37.8037702, -122.4170907)"
21,University of California-San Francisco,Parnassus,500 Parnassus Ave,4154769000,http://www.ucsf.edu,"(37.76292238, -122.4586196)"
46,City College of San Francisco,Evans,1400 Evans Ave,,,"(37.74179876, -122.3847078)"
48,City College of San Francisco,Mission,1125 Valencia St,,,"(37.75484683, -122.4203042)"
49,City College of San Francisco,Southeast,1800 Oakdale Ave,,,"(37.73744737, -122.3940977)"
50,University of California-San Francisco,Mission Bay,600 16th St,,,"(37.76768652, -122.3921299)"
60,University of California-San Francisco,Mount Zion,1600 Divisadero St,,,"(37.78482062, -122.4393106)"
