Geography,All ED Visits Num,"All ED Visits Age-Adjusted Rate per 100,000",Diabetes-Related ED Visits Num,"Diabetes-Related ED Visits Age-Adjusted Rate per 100,000",Coronary Heart Disease ED Visits Num,"Coronary Heart Disease ED Visits Age-Adjusted Rate per 100,000",Stroke ED Visits Num,"Stroke ED Visits Age-Adjusted Rate per 100,000",Obesity-Related ED Visits Num,"Obesity-Related ED Visits Age-Adjusted Rate per 100,000",Depression-Related ED Visits Num,"Depression-Related ED Visits Age-Adjusted Rate per 100,000",Mental Health ED Visits Num,"Mental Health ED Visits Age-Adjusted Rate per 100,000",Alcohol ED Visits Num,"Alcohol ED Visits Age-Adjusted Rate per 100,000",Drug ED Visits Num,"Drug ED Visits Age-Adjusted Rate per 100,000",Heart Disease ED Visits Num,"Heart Disease ED Visits Age-Adjusted Rate per 100,000",Congestive Heart Failure ED Visits Num,"Congestive Heart Failure ED Visits Age-Adjusted Rate per 100,000",Respiratory Illness ED Visits Num,"Respiratory Illness ED Visits Age-Adjusted Rate per 100,000",Acute Bronchitis ED Visits Num,"Acute Bronchitis ED Visits Age-Adjusted Rate per 100,000",Pneumonia ED Visits Num,"Pneumonia ED Visits Age-Adjusted Rate per 100,000",Chronic Bronchitis ED Visits Num,"Chronic Bronchitis ED Visits Age-Adjusted Rate per 100,000",Hypertension ED Visits Num,"Hypertension ED Visits Age-Adjusted Rate per 100,000",Asthma ED Visits Num,"Asthma ED Visits Age-Adjusted Rate per 100,000",Motor Vehicle Crash-Related ED Visits Num,"Motor Vehicle Crash-Related ED Visits Age-Adjusted Rate per 100,000",Self-Harm-Related ED Visits Num,"Self-Harm-Related ED Visits Age-Adjusted Rate per 100,000",Assault-Related ED Visits Num,"Assault-Related ED Visits Age-Adjusted Rate per 100,000",Unintentional Injury-Related ED Visits Num,"Unintentional Injury-Related ED Visits Age-Adjusted Rate per 100,000",Avoidable ED Visits Num,"Avoidable ED Visits Age-Adjusted Rate per 100,000"
Alameda County,1371285,29176.9,108580,2206.4,2396,48.9,3816,79.8,36325,756.5,39562,816.1,60726,1255.9,19769,397.7,7421,154.6,15023,310.9,3967,81.8,120265,2617,10165,218.9,8647,186.8,3844,76.5,8007,162.6,25165,545.8,36007,756.6,3906,84.1,18337,384.2,292669,6304.8,173156,3740.5
94501,50066,26666.1,3404,1586.2,107,47.5,161,75.5,1151,584.5,1263,642,2664,1336.3,1203,572.5,274,149.2,564,264,104,47,3621,2033.8,418,225.3,268,139,95,41,265,121.2,731,414.9,1354,728.9,134,76.3,517,287.3,12173,6654.2,6070,3298.9
94502,6442,15359,403,750.4,18,30.9,29,54.8,137,287.3,175,451.1,311,736.9,156,340.6,19,52.1,100,174.4,11,18.5,389,1017.2,40,101.1,48,118,28,52,46,81.6,61,162,151,412.8,15,42.5,46,130.6,1869,4568.4,547,1363.5
94536,49137,22806.3,4404,1985.3,114,52.3,181,82.7,1208,556.8,1641,755.8,2365,1094.8,662,293,246,115.8,688,313.1,148,70,4292,2000.1,466,213.8,285,131.5,99,45.1,376,167.9,835,388.6,1247,587.3,129,62.7,356,171.6,11218,5266.1,5724,2695.2
94538,47326,25743.6,4440,2524.5,101,60.9,125,75.4,1110,581.3,1526,794.8,2376,1257.5,616,315.2,225,116.5,528,308.5,102,63.3,4488,2469.9,497,268.2,273,154.3,115,68.4,300,168.1,828,461.7,1197,634.8,156,87.7,324,173.6,10229,5647.3,5741,3164
94539,16965,11641.6,1396,874.4,72,46,86,55,310,198.4,577,393.9,782,541.7,177,112.4,82,63.4,309,197.7,41,25.6,1119,817.2,115,78.8,105,73.6,21,14,115,72,193,136.1,497,328.8,57,41.1,103,77.8,4629,3187.5,1544,1088.2
94541,82222,42847.7,7552,4068.6,130,70.4,133,78,2133,1118.6,2873,1490.3,3552,1834.3,1024,521.3,427,218,677,376.6,184,103.9,8285,4270.4,809,415.9,630,328.3,206,111.5,398,213.3,1591,828.2,1934,995.5,219,113.4,925,473.5,16044,8412.8,11387,5971.6
94542,9411,23598.3,696,1678.4,23,52.5,40,101.1,277,682.8,349,805.9,337,786.1,74,178,49,106.6,114,264.9,29,67.6,856,2312.2,89,242.8,72,197.9,15,35.4,53,129.2,158,435.1,264,638.1,26,54.1,83,189,2139,5445.9,1169,3065.3
94544,94255,42222.3,8433,4120.1,143,73.2,222,115.5,2647,1221.3,3438,1569.5,3419,1538.4,895,400.2,414,181.1,699,353.9,190,96.5,10249,4484.3,1276,566,684,307.7,225,113.8,502,245.6,1617,720.3,2361,1040.8,197,86.5,966,418.6,17996,8066.2,14216,6392.1
94545,35116,37713.7,3707,3651.5,83,78.2,107,105.5,1169,1235.4,1363,1430,1566,1685.5,591,641.4,178,194,336,328.3,102,99,3662,4014.5,433,468.5,289,313.9,120,116.2,258,248.5,739,804.6,927,1002.3,105,114.1,365,398.9,6962,7588.8,4811,5304.8
94546,37925,29243.3,2720,1720,99,56.8,143,81.4,1101,813.7,1417,1048.3,1870,1410.6,691,493.1,222,177.3,505,304.2,102,54.8,3199,2624.5,286,225.2,264,199.8,105,63.6,217,144.4,628,521.9,942,760.3,116,97.4,338,277.9,9169,7186.5,4438,3546.5
94550,27416,19448.6,1185,737.6,48,28.4,157,95.8,694,458.4,727,512,1463,1080.4,401,277.9,264,203.5,456,280.9,72,44.3,2015,1498.8,205,151.7,254,182.7,62,37.6,148,91.2,316,229,711,525.6,125,95.5,198,154,7050,5025.9,2682,1965.1
94551,20754,19098,1003,955.3,25,26.3,69,77.9,515,456.6,608,529,1055,924.5,305,260.2,176,155.1,268,310.1,39,53.8,1719,1581.1,197,178.7,188,173.2,55,57.7,103,101.9,251,236.6,512,450.9,96,88.2,147,130.3,4778,4411.1,2187,2032.6
94552,6715,15204.6,419,838.3,18,34.8,35,71.4,177,346.9,214,463.7,261,578.1,82,161,23,57.6,97,199.6,12,28.2,469,1143.7,46,116.8,53,124.2,-1,-1,43,86,64,150.5,170,391.4,18,49.1,46,119.4,1879,4325.9,587,1388.7
94555,17816,17785.1,1641,1688.6,37,37.3,52,58,379,374.4,546,551.9,658,666,135,127.1,73,76.6,228,245.8,36,47.2,1626,1571.7,177,173.2,125,119.5,24,28.1,146,148.6,329,319.2,494,493.8,60,66.1,117,120.2,3944,3910.7,1945,1933.2
94560,35315,27205.9,3233,2508.3,87,69.3,98,80.4,1048,787.3,1049,792.8,1549,1182.7,408,300.7,161,123.3,416,338.8,89,78.6,3500,2687.7,398,305.2,237,184.9,76,60.5,211,162.7,675,520,892,676.7,99,78.7,226,172,7563,5852.8,4411,3438.4
94566,20865,16859.3,788,590.2,31,21.4,114,74.8,368,280.3,536,426.9,1022,854.7,307,248.8,157,133.8,336,233.8,43,33.7,1417,1216.4,150,129.5,179,143.9,49,34.3,125,84.3,229,191.1,519,425.9,95,77.8,137,135.5,5988,4788.8,1930,1636.1
94568,24481,17126.5,1092,882.7,27,25.1,92,88.3,522,341.7,668,460.3,1009,665.9,260,166.3,147,97.6,293,276,46,58,2037,1401.5,236,158.4,221,163.5,41,39.7,159,125.4,334,231.5,640,420.4,101,67.3,192,120.2,6421,4530.5,2464,1687.8
94577,43319,29747.4,3349,2032.8,130,74.6,148,84.7,1341,904.7,1113,742,1878,1279.5,576,377.5,235,170,514,297.1,119,64.1,3712,2632.2,323,227.1,256,167.7,120,70.2,285,173.6,824,597,1202,856.9,136,102.6,477,350.2,9061,6290,5444,3822.9
94578,45903,37832.1,3763,3138.5,73,60.7,87,75.5,1293,1068.1,1198,987.6,1746,1417,499,404.8,245,196.7,367,309.8,119,102.2,4379,3615.8,300,247.5,283,234.5,115,92.8,226,186.2,910,752.8,1182,961.6,147,123,586,468.9,8786,7296.1,6389,5324.7
94579,16527,27745.8,1674,2496.4,59,78.4,83,110.4,595,984,415,672.3,527,882,180,278.4,64,111.7,267,365.7,86,118.1,1403,2422,111,197.7,120,195.8,60,72.4,103,146.3,297,486.9,437,759,45,84.8,139,254,3693,6317.5,1805,3145.4
94580,25243,29472.2,2132,2399.3,52,58.6,93,105.1,912,1045.7,724,823.1,1029,1145.3,410,432.1,122,139.9,291,321.8,85,90.1,2404,2851.4,193,233.2,189,220.9,87,100.9,166,188.6,520,596.6,703,825.4,80,95,258,300,5772,6786.5,3198,3807.8
94586,715,24262.6,54,1273,-1,-1,-1,-1,11,366.7,17,533.9,35,1355.2,-1,-1,-1,-1,19,567.3,-1,-1,46,1703,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,745.5,-1,-1,-1,-1,206,7082.6,55,2178.2
94587,56479,26647.9,6422,2921,139,60.4,162,74.1,1642,760.5,1820,847,2329,1091.7,613,281.2,200,93.6,708,330.6,188,90.5,5421,2591.2,620,295.5,407,195.3,142,65.1,404,182.7,1083,513.9,1542,719.8,141,67.9,437,206.8,12118,5790.1,6972,3353
94588,15414,18087.4,531,622.6,21,25.5,56,67.6,305,335.8,388,440.7,760,860.4,255,267.5,105,124.5,212,271,28,41.1,1117,1320.4,135,162.8,156,182.6,21,19.9,88,100.4,197,219.6,376,430,59,68.3,101,117.3,4354,5095.7,1541,1823
