Geography,Total Inpatient Visits Num,"Total Inpatient Visits Age-Adjusted Rate per 100,000",Asthma Inpatient Visits Num,"Asthma Inpatient Visits Age-Adjusted Rate per 100,000",Childhood Asthma Inpatient Visits Num,"Childhood Asthma Inpatient Visits Age-Adjusted Rate per 100,000",Coronary Heart Disease Inpatient Visits Num,"Coronary Heart Disease Inpatient Visits Age-Adjusted Rate per 100,000",Congesitve Heart Failure Inpatient Visits Num,"Congesitve Heart Failure Inpatient Visits Age-Adjusted Rate per 100,000",Stroke Inpatient Visits Num,"Stroke Inpatient Visits Age-Adjusted Rate per 100,000",Diabetes-Related Inpatient Visits Num,"Diabetes-Related Inpatient Visits Age-Adjusted Rate per 100,000",Hypertension-Related Inpatient Visits Num,"Hypertension-Related Inpatient Visits Age-Adjusted Rate per 100,000",Obesity-Related Inpatient Visits Num,"Obesity-Related Inpatient Visits Age-Adjusted Rate per 100,000"
Alameda County,422758,9041.5,5074,112.2,1210,415.4,11323,232.8,9329,195.9,9979,209.6,42288,879.6,48403,986.4,17971,367.3
94501,18524,9531.9,179,105.4,44,428,514,233.2,509,234.5,482,224.4,1660,780.1,2342,1067.2,688,337.8
94502,2995,7010.2,21,61,-1,-1,81,131.5,77,134.1,66,110.6,209,371.9,408,703.5,80,159.6
94536,17330,7920,142,65.7,30,192.7,531,241.1,311,145.8,386,177.8,1800,832.8,1781,799.4,650,293.6
94538,16712,9133.5,155,92.7,27,202.6,440,258.1,313,195.8,315,189.6,1695,1014.6,1545,889.2,642,331.5
94539,7442,5574.4,46,32.4,14,187.7,290,180.6,142,104.2,164,113.7,705,469.4,929,580.3,219,139.6
94541,21587,11438,335,177.4,66,460,543,303.4,453,252.9,466,264.1,2439,1363.7,2435,1336.7,1231,635.9
94542,2942,7634.2,30,91.7,12,589,106,253.9,54,141.3,71,181.4,264,627.4,352,811.6,150,346.9
94544,23136,10741.6,303,146.8,45,257.5,790,402.9,507,265.5,550,290.5,2942,1492,2618,1315.2,1356,607
94545,9810,10114.5,151,156.5,15,254.6,378,352.1,223,214.1,218,214.6,1352,1315.3,1262,1216.8,523,538.6
