Geography,All-Cause Mortality Num,"All-Cause Mortality Age-Adjusted Rate per 100,000",Cancer Mortality Num,"Cancer Mortality Age-Adjusted Rate per 100,000",Heart Disease Mortality Num,"Heart Disease Mortality Age-Adjusted Rate per 100,000",Stroke Mortality Num,"Stroke Mortality Age-Adjusted Rate per 100,000",Chronic Lower Respiratory Disease Mortality Num,"Chronic Lower Respiratory Disease Mortality Age-Adjusted Rate per 100,000",Alzheimer's Disease Mortality Num,"Alzheimer's Disease Mortality Age-Adjusted Rate per 100,000",Diabetes Mortality Num,"Diabetes Mortality Age-Adjusted Rate per 100,000",Unintentional Injury Mortality Num,"Unintentional Injury Mortality Age-Adjusted Rate per 100,000"
Alameda County,28226,599.8,6834,145.1,5798,123.1,1668,35.8,1275,27.7,1311,28.1,1031,21.9,1163,24.1
94501,1325,597.5,305,139.8,291,128.1,73,34.3,78,35.6,66,27.1,36,16,43,20.7
94502,275,471.9,69,121.3,56,92.1,22,34.8,13,20.7,16,25.4,-1,-1,-1,-1
94514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
94536,1160,527.7,253,117.5,249,111.1,62,28.2,49,22.9,76,34,52,24,33,14.6
94538,919,572.2,225,138.6,194,122.2,56,35.3,47,30.9,43,27.9,42,25.3,32,18.1
94539,566,411.6,158,106.5,119,89.5,30,23,22,17.2,18,14.6,19,13.3,13,9
94541,1448,803.7,306,174.4,284,157.7,94,52.4,64,37,76,42,68,38,67,34.5
94542,217,551.3,60,144.6,41,109.7,12,33.2,10,25.9,-1,-1,-1,-1,12,27.8
94544,1316,699.3,297,156.7,261,138.3,90,49.9,70,39.2,67,37.3,65,36.9,53,24.8
94545,590,582.8,132,127.7,121,118.6,42,40.9,35,34.6,23,22.4,25,24.1,19,20.2
94546,1176,617.7,261,147.9,266,129.1,79,42.5,57,30.5,65,29.4,33,17.8,35,21.9
94550,989,596.8,263,161.9,228,136,52,30.8,61,35.5,59,34.2,24,14.1,35,23.5
94551,493,653.7,124,151.2,90,130.2,20,31.8,33,49,23,39.4,11,13.6,28,28.4
94552,217,506.6,74,157.1,33,83.6,17,43,-1,-1,-1,-1,-1,-1,10,21.5
94555,364,448.8,106,121.6,79,100.3,15,19.2,10,13.6,12,18.4,18,21.5,10,8.9
94560,674,590,184,152.6,120,106,34,30.5,30,28.4,17,18,32,28.6,27,20.6
94566,689,479.4,189,128.6,141,96.2,28,19.6,44,30.8,48,33.4,24,16.9,20,15
94568,476,531.4,144,140,83,109.4,35,41.6,14,18.9,19,30,-1,-1,27,17.2
94577,1100,581.1,232,130,239,120.9,87,43.8,41,21.5,63,28.4,36,20.4,39,23.2
94578,703,600.1,154,133.5,118,100.4,51,44.5,25,24.2,26,21.6,23,20.8,41,33.7
94579,552,701.5,156,207.4,114,138,42,50.1,33,43,22,25.7,16,20.5,15,22.5
94580,607,653.2,150,170.2,127,132.6,35,35.5,30,33,35,36.9,26,28.1,35,37.9
94586,16,542.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
94587,1216,582.8,274,128.1,260,126.6,63,31.1,61,30.6,43,21.3,58,27.8,53,25
94588,371,586.5,125,170.5,84,146.6,12,20.2,11,19.3,13,26.6,-1,-1,14,19.4
94601,888,740.6,220,187.6,175,148.3,38,34.1,37,34.6,39,35.6,42,35.3,52,39.1
94602,584,540.4,149,136.1,119,110.2,37,32.6,23,22.8,26,22.6,16,15.1,20,21
94603,626,945.8,133,205.6,135,218.6,28,46.8,29,43.7,17,29.2,31,47.1,32,38.2
94605 & 94613,1002,783,239,179.5,217,167.7,51,40.4,35,27.6,31,25.7,44,33.9,46,37
94606,685,684.2,171,167.8,132,133.1,35,35.8,25,25.9,26,28.3,36,37.5,22,20.5
94607,591,669,129,148.6,112,124.6,44,47.5,27,29.8,10,10.2,22,24.7,38,42.2
94608,601,766.6,121,151.8,139,187,32,42.4,32,42,20,26.5,18,23.6,34,38
94609,432,797.3,102,191.9,84,158.2,22,43.7,18,36.8,19,34,10,16.9,17,27.4
94610,540,532.9,120,116.9,132,127.8,32,30.6,10,10.5,35,35.5,14,14.7,14,13.8
94611,819,518.7,233,154,169,101.1,59,35.2,27,17.1,43,25.6,20,12.9,26,17.7
94612,478,594.9,99,129.5,102,123.3,25,27.1,34,36.8,14,11.1,16,18.8,27,43.9
94618,249,445.7,71,124.5,53,99.5,14,23.8,-1,-1,-1,-1,-1,-1,11,20.4
94619,514,667.7,130,161.4,78,102.3,29,35,24,31,36,48.6,21,26.9,19,27.9
94621,652,978.2,146,234.9,109,173,33,58,33,50.1,19,34.9,36,53.9,49,60.4
94702,385,669.6,82,150.1,90,153.5,27,45,19,32.7,29,48.4,-1,-1,-1,-1
94703,343,563.4,87,143,67,114.9,23,40.1,-1,-1,15,25.3,18,26.1,19,27.2
94704,153,458.8,31,99,41,126.2,-1,-1,-1,-1,10,32.9,-1,-1,11,24.5
